"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.708531542E0,1.332229614E-1,-1.124356888E1,1.224304047E0
3.718571542E0,-7.658074951E-1,-1.113339798E1,1.254690857E0
3.728612542E0,-1.883233795E0,-1.120614670E1,1.309925995E0
3.738652542E0,-3.077749786E0,-1.064481400E1,1.010099487E0
3.748693542E0,-4.147575073E0,-9.610315247E0,3.179388428E-1
3.758734542E0,-4.966971130E0,-8.491092682E0,-7.023394775E-1
3.768774542E0,-5.132975922E0,-7.378306732E0,-2.363135834E0
3.778815542E0,-5.001998291E0,-6.509363708E0,-3.306623840E0
3.788855542E0,-4.635709991E0,-5.933062134E0,-3.435505829E0
3.798896542E0,-4.094435577E0,-5.988896027E0,-4.182302856E0
3.808936542E0,-3.434458008E0,-6.171516266E0,-4.193529510E0
3.818977542E0,-2.881358185E0,-6.607709198E0,-3.975582733E0
3.829018542E0,-2.256108398E0,-7.025191040E0,-3.975732422E0
3.839058542E0,-1.713187408E0,-7.298522644E0,-4.240980835E0
3.849099542E0,-1.302740936E0,-7.446115723E0,-4.162394257E0
3.859139542E0,-1.027762756E0,-7.194788361E0,-3.773952026E0
3.869180542E0,-8.122109985E-1,-6.515950012E0,-3.727847900E0
3.879221542E0,-6.969506836E-1,-5.657335510E0,-3.439397736E0
3.889261542E0,-8.605604553E-1,-4.775668945E0,-3.065625000E0
3.899302542E0,-1.152154083E0,-4.099824371E0,-3.015479279E0
3.909342542E0,-1.379680939E0,-3.847898254E0,-3.031046906E0
3.919383542E0,-1.429227905E0,-4.002227325E0,-2.940784607E0
3.929424542E0,-1.360969849E0,-4.331841888E0,-2.863694916E0
3.939464542E0,-1.265618134E0,-4.601431274E0,-2.783611450E0
3.949505542E0,-1.198707275E0,-4.718936920E0,-2.844834137E0
3.959545542E0,-1.302142181E0,-4.749623108E0,-3.078049164E0
3.969586542E0,-1.491199036E0,-4.632117462E0,-3.192261658E0
3.979626542E0,-1.671274567E0,-4.372706909E0,-3.417393494E0
